file,model,max_tokens,ok,tot,acc
claude_sonnet_gate_canon_only.json,claude-3.5-sonnet,,600,600,1.0
claude_sonnet_gate.json,claude-3.5-sonnet,,600,600,1.0
claude_sonnet_gate_stylecanon.json,claude-3.5-sonnet,,600,600,1.0
claude_sonnet_nohint_stop_canon_only.json,claude-3.5-sonnet,,22,600,0.03666666666666667
claude_sonnet_nohint_stop.json,claude-3.5-sonnet,,22,600,0.03666666666666667
claude_sonnet_nohint_stop_stylecanon.json,claude-3.5-sonnet,,600,600,1.0
gpt4o_mini_gate_canon_only.json,gpt4o-mini,,600,600,1.0
gpt4o_mini_gate.json,gpt4o-mini,,600,600,1.0
gpt4o_mini_gate_stylecanon.json,gpt4o-mini,,600,600,1.0
gpt4o_mini_nohint_stop_canon_only.json,gpt4o-mini,,0,600,0.0
gpt4o_mini_nohint_stop.json,gpt4o-mini,,0,600,0.0
gpt4o_mini_nohint_stop_stylecanon.json,gpt4o-mini,,600,600,1.0
llama31_8b_gate_canon_only.json,other,,600,600,1.0
llama31_8b_gate.json,other,,600,600,1.0
llama31_8b_gate_stylecanon.json,other,,600,600,1.0
mistral7b_gate_canon_only.json,other,,600,600,1.0
mistral7b_gate.json,other,,600,600,1.0
mistral7b_gate_stylecanon.json,other,,600,600,1.0
openchat35_gate_stylecanon.json,other,,600,600,1.0
qwen25_3b_gate_ng_stylecanon.json,other,,600,600,1.0
qwen25_3b_gate_ng_t2_hfix_stylecanon.json,other,,600,600,1.0
qwen25_3b_gate_ng_t2_stylecanon.json,other,,600,600,1.0
qwen25_3b_gate_ng_t8_stylecanon.json,other,,600,600,1.0
qwen25_3b_gate_stylecanon.json,other,,600,600,1.0
qwen25_3b_nogate_stylecanon.json,other,,200,600,0.3333333333333333
qwen25_7b_gate_canon_only.json,other,,600,600,1.0
qwen25_7b_gate.json,other,,600,600,1.0
qwen25_7b_gate_ng_canon_stylecanon.json,other,,600,600,1.0
qwen25_7b_gate_ng_stylecanon.json,other,,600,600,1.0
qwen25_7b_gate_ng_t2_stylecanon.json,other,,600,600,1.0
qwen25_7b_gate_ng_t4_stylecanon.json,other,,600,600,1.0
qwen25_7b_gate_ng_t8_stylecanon.json,other,,600,600,1.0
qwen25_7b_gate_relaxed_stylecanon.json,other,,600,600,1.0
qwen25_7b_gate_stylecanon.json,other,,600,600,1.0
